word1,word2,similarity_out_of_50,similarity
cafe,lunch,40.0,8.0
coast,harbour,40.0,8.0
dog,pug,40.0,8.0
sky,sun,40.0,8.0
mallard,swan,40.0,8.0
cloud,rain,40.0,8.0
sky,sunshine,40.0,8.0
frost,weather,40.0,8.0
cherry,raspberry,40.0,8.0
downtown,street,40.0,8.0
bloom,dandelion,40.0,8.0
dragonfly,insects,40.0,8.0
bottle,wine,40.0,8.0
feel,happy,40.0,8.0
railway,station,40.0,8.0
beach,swimming,40.0,8.0
cafe,diner,40.0,8.0
cafe,pub,40.0,8.0
building,tall,40.0,8.0
burger,meat,40.0,8.0
gold,silver,40.0,8.0
summer,weather,40.0,8.0
military,soldiers,40.0,8.0
cemetery,grave,40.0,8.0
pizza,restaurant,39.0,7.8
bright,colour,39.0,7.8
canine,paws,39.0,7.8
swim,underwater,39.0,7.8
sea,swim,39.0,7.8
pub,restaurant,39.0,7.8
day,time,39.0,7.8
canine,terrier,39.0,7.8
bottle,glass,39.0,7.8
bed,relaxed,39.0,7.8
seed,sunflower,39.0,7.8
birds,owl,39.0,7.8
art,sculpture,39.0,7.8
light,shade,39.0,7.8
apartment,staircase,39.0,7.8
outfit,socks,39.0,7.8
carrots,potatoes,39.0,7.8
lizard,snake,39.0,7.8
city,sidewalk,39.0,7.8
guitar,rock,39.0,7.8
brick,building,39.0,7.8
eat,soup,39.0,7.8
dew,misty,39.0,7.8
blue,colour,39.0,7.8
dawn,morning,39.0,7.8
cooking,restaurant,39.0,7.8
bay,sea,39.0,7.8
cafe,shop,39.0,7.8
floor,roof,39.0,7.8
clothes,hat,39.0,7.8
marble,stone,39.0,7.8
duck,goose,39.0,7.8
collection,museum,39.0,7.8
happy,love,39.0,7.8
bakery,shop,39.0,7.8
mist,wet,39.0,7.8
blossom,petals,39.0,7.8
bright,light,39.0,7.8
rice,sushi,39.0,7.8
cooking,meat,39.0,7.8
day,night,39.0,7.8
kiss,love,39.0,7.8
stream,waterfall,39.0,7.8
interior,room,39.0,7.8
surf,surfers,39.0,7.8
poodle,terrier,39.0,7.8
cold,frost,39.0,7.8
city,town,39.0,7.8
ocean,underwater,39.0,7.8
harbor,sailing,39.0,7.8
scenery,sunset,39.0,7.8
green,violet,39.0,7.8
harbor,ship,39.0,7.8
summer,sunshine,39.0,7.8
blue,grey,39.0,7.8
art,graphic,39.0,7.8
lake,shore,39.0,7.8
rust,rusty,39.0,7.8
architecture,design,39.0,7.8
goose,swan,39.0,7.8
architecture,construction,39.0,7.8
hawk,nest,39.0,7.8
carrots,salad,39.0,7.8
fruit,tomato,39.0,7.8
purple,violet,39.0,7.8
misty,rain,39.0,7.8
clothes,jean,39.0,7.8
bloom,daffodils,39.0,7.8
brick,construction,39.0,7.8
diner,restaurant,39.0,7.8
ceiling,roof,39.0,7.8
painted,portrait,39.0,7.8
ripples,wave,39.0,7.8
beard,face,39.0,7.8
apple,raspberry,39.0,7.8
fashion,outfit,39.0,7.8
downtown,skyscraper,39.0,7.8
buds,daffodils,39.0,7.8
harbor,shore,39.0,7.8
blonde,hair,39.0,7.8
kittens,paws,39.0,7.8
bay,shore,39.0,7.8
shop,store,39.0,7.8
gravestone,memorial,38.0,7.6
canine,pug,38.0,7.6
crow,hawk,38.0,7.6
dress,outfit,38.0,7.6
city,urban,38.0,7.6
bedroom,door,38.0,7.6
bus,tram,38.0,7.6
spring,summer,38.0,7.6
scenery,waterfall,38.0,7.6
road,traffic,38.0,7.6
hill,valley,38.0,7.6
ceiling,floor,38.0,7.6
splash,water,38.0,7.6
grass,weed,38.0,7.6
sunny,weather,38.0,7.6
parrot,wing,38.0,7.6
daisy,violet,38.0,7.6
copper,silver,38.0,7.6
baseball,hockey,38.0,7.6
pets,poodle,38.0,7.6
blossom,foliage,38.0,7.6
pink,purple,38.0,7.6
grey,shade,38.0,7.6
panorama,scenery,38.0,7.6
downtown,metro,38.0,7.6
beard,hair,38.0,7.6
dandelion,petals,38.0,7.6
blue,violet,38.0,7.6
daisy,flowers,38.0,7.6
noodles,soup,38.0,7.6
pets,puppy,38.0,7.6
buds,petals,38.0,7.6
ancient,ruins,38.0,7.6
eyes,iris,38.0,7.6
puddle,water,38.0,7.6
harbor,sea,38.0,7.6
painting,sculpture,38.0,7.6
sand,sea,38.0,7.6
feline,kittens,38.0,7.6
birds,swan,38.0,7.6
baseball,game,38.0,7.6
colour,purple,38.0,7.6
pool,splash,38.0,7.6
cattle,sheep,38.0,7.6
landscape,scenery,38.0,7.6
coins,gold,38.0,7.6
boat,shore,38.0,7.6
skyscraper,tall,38.0,7.6
apple,cherry,38.0,7.6
beef,chicken,38.0,7.6
hot,sunny,38.0,7.6
dessert,fruit,38.0,7.6
photographer,portrait,38.0,7.6
chicken,meat,38.0,7.6
ceiling,interior,38.0,7.6
bathroom,bedroom,38.0,7.6
hummingbird,stork,38.0,7.6
motor,vehicle,38.0,7.6
colour,grey,38.0,7.6
blue,orange,38.0,7.6
dawn,dusk,38.0,7.6
building,downtown,38.0,7.6
face,tears,38.0,7.6
boat,harbour,38.0,7.6
cattle,farm,38.0,7.6
dripping,wet,38.0,7.6
brown,green,38.0,7.6
bedroom,ceiling,38.0,7.6
bread,eat,38.0,7.6
dinner,evening,38.0,7.6
face,smile,38.0,7.6
bride,dress,38.0,7.6
stone,wall,38.0,7.6
mural,painted,38.0,7.6
foliage,plant,38.0,7.6
day,dusk,38.0,7.6
roof,wall,38.0,7.6
cooking,food,38.0,7.6
photography,portrait,38.0,7.6
buds,foliage,38.0,7.6
lily,pond,37.0,7.4
harbour,shore,37.0,7.4
palm,tree,37.0,7.4
bus,subway,37.0,7.4
holiday,travel,37.0,7.4
skyline,view,37.0,7.4
bedroom,cottage,37.0,7.4
dinner,lunch,37.0,7.4
grave,memorial,37.0,7.4
dessert,sweet,37.0,7.4
birds,insects,37.0,7.4
concert,rock,37.0,7.4
mushrooms,tomato,37.0,7.4
metro,railway,37.0,7.4
giraffe,zoo,37.0,7.4
railway,subway,37.0,7.4
misty,weather,37.0,7.4
parrot,pelican,37.0,7.4
bedroom,sleep,37.0,7.4
autumn,summer,37.0,7.4
automobile,truck,37.0,7.4
amphibians,mammals,37.0,7.4
cemetery,memorial,37.0,7.4
orange,purple,37.0,7.4
blue,color,37.0,7.4
daffodils,rose,37.0,7.4
berry,seed,37.0,7.4
hummingbird,mallard,37.0,7.4
dandelion,grass,37.0,7.4
brick,concrete,37.0,7.4
costumes,dress,37.0,7.4
cloud,mist,37.0,7.4
sea,tropical,37.0,7.4
brown,grey,37.0,7.4
bathroom,room,37.0,7.4
daisy,plant,37.0,7.4
painted,picture,37.0,7.4
eyes,lips,37.0,7.4
autumn,winter,37.0,7.4
dripping,rain,37.0,7.4
horizon,sky,37.0,7.4
black,blue,37.0,7.4
metro,station,37.0,7.4
alley,street,37.0,7.4
children,family,37.0,7.4
mountain,scenery,37.0,7.4
concrete,construction,37.0,7.4
mill,windmill,37.0,7.4
summer,winter,37.0,7.4
plant,twigs,37.0,7.4
breakfast,lunch,37.0,7.4
concrete,floor,37.0,7.4
rain,sky,37.0,7.4
food,frozen,37.0,7.4
moss,plant,37.0,7.4
flowers,spring,37.0,7.4
birds,mallard,37.0,7.4
graphic,illustrations,37.0,7.4
eat,fruit,37.0,7.4
ceiling,porch,37.0,7.4
river,valley,37.0,7.4
fog,mist,37.0,7.4
dude,guy,37.0,7.4
moon,sky,37.0,7.4
bar,sushi,37.0,7.4
beauty,scenery,37.0,7.4
feathers,mallard,37.0,7.4
furniture,patio,37.0,7.4
light,shadow,37.0,7.4
bay,harbour,37.0,7.4
washing,water,37.0,7.4
flight,owl,37.0,7.4
paws,whiskers,37.0,7.4
costumes,wig,37.0,7.4
animals,giraffe,37.0,7.4
autumn,foliage,37.0,7.4
animals,cattle,37.0,7.4
building,skyscraper,37.0,7.4
ice,skating,37.0,7.4
meat,potatoes,37.0,7.4
buds,twigs,37.0,7.4
knitting,stitches,37.0,7.4
hot,sunshine,37.0,7.4
bed,room,37.0,7.4
music,rock,37.0,7.4
cooking,rice,37.0,7.4
berry,cherry,37.0,7.4
piano,played,37.0,7.4
flowers,lily,37.0,7.4
cherry,strawberry,37.0,7.4
clothes,skirt,37.0,7.4
art,painting,37.0,7.4
birds,gull,37.0,7.4
spiral,staircase,37.0,7.4
paws,pets,37.0,7.4
feathers,nest,37.0,7.4
feathers,owl,37.0,7.4
blossom,cherry,37.0,7.4
goats,sheep,37.0,7.4
green,pink,37.0,7.4
foliage,garden,37.0,7.4
dog,husky,37.0,7.4
feathers,hummingbird,37.0,7.4
sunshine,weather,37.0,7.4
snow,weather,37.0,7.4
surfers,wave,37.0,7.4
breakfast,dinner,37.0,7.4
shoes,toes,37.0,7.4
band,played,37.0,7.4
coffee,mug,37.0,7.4
brick,wall,37.0,7.4
fishing,sailing,37.0,7.4
grey,white,37.0,7.4
orange,strawberry,37.0,7.4
color,purple,37.0,7.4
blossom,daisy,37.0,7.4
hawk,owl,37.0,7.4
exhibition,photography,37.0,7.4
morning,night,37.0,7.4
band,concert,37.0,7.4
dress,shirt,37.0,7.4
river,waterfall,37.0,7.4
ceramic,tiles,36.0,7.2
cloud,droplets,36.0,7.2
exhibition,sculpture,36.0,7.2
oak,twigs,36.0,7.2
movie,television,36.0,7.2
butterfly,hummingbird,36.0,7.2
daisy,grass,36.0,7.2
floor,marble,36.0,7.2
canyon,river,36.0,7.2
decoration,interior,36.0,7.2
flamingo,stork,36.0,7.2
born,mother,36.0,7.2
moon,sun,36.0,7.2
musicians,sing,36.0,7.2
green,red,36.0,7.2
purple,white,36.0,7.2
canine,pets,36.0,7.2
morning,sleep,36.0,7.2
weather,winter,36.0,7.2
sky,sunny,36.0,7.2
jacket,socks,36.0,7.2
blue,red,36.0,7.2
green,grey,36.0,7.2
lily,petals,36.0,7.2
blue,purple,36.0,7.2
goose,mallard,36.0,7.2
hotel,restaurant,36.0,7.2
downtown,urban,36.0,7.2
jean,skirt,36.0,7.2
guy,people,36.0,7.2
birthday,happy,36.0,7.2
chicken,soup,36.0,7.2
flying,wing,36.0,7.2
door,room,36.0,7.2
skyline,skyscraper,36.0,7.2
cheetah,giraffe,36.0,7.2
feline,pets,36.0,7.2
car,parking,36.0,7.2
gull,mallard,36.0,7.2
spring,winter,36.0,7.2
daffodils,spring,36.0,7.2
building,skyline,36.0,7.2
salad,tomato,36.0,7.2
book,written,36.0,7.2
bucket,water,36.0,7.2
lady,sexy,36.0,7.2
ceiling,room,36.0,7.2
puddle,rain,36.0,7.2
costumes,outfit,36.0,7.2
hill,scenery,36.0,7.2
bacon,chicken,36.0,7.2
dawn,night,36.0,7.2
cocktail,restaurant,36.0,7.2
daffodils,petals,36.0,7.2
canyon,valley,36.0,7.2
brick,house,36.0,7.2
band,rock,36.0,7.2
book,illustrations,36.0,7.2
desk,sitting,36.0,7.2
bright,sky,36.0,7.2
autumn,sunny,36.0,7.2
colour,yellow,36.0,7.2
cold,weather,36.0,7.2
blue,green,36.0,7.2
glittering,sunlight,36.0,7.2
dripping,water,36.0,7.2
day,misty,36.0,7.2
food,noodles,36.0,7.2
goats,milk,36.0,7.2
pink,yellow,36.0,7.2
floor,interior,36.0,7.2
black,purple,36.0,7.2
door,window,36.0,7.2
city,skyline,36.0,7.2
born,living,35.0,7.0
art,work,35.0,7.0
pink,violet,35.0,7.0
bath,room,35.0,7.0
dew,rain,35.0,7.0
boys,girls,35.0,7.0
canyon,mountain,35.0,7.0
white,yellow,35.0,7.0
colour,shade,35.0,7.0
banana,cherry,35.0,7.0
mammals,rodents,35.0,7.0
explosion,fire,35.0,7.0
shore,swim,35.0,7.0
cloud,misty,35.0,7.0
sitting,stand,35.0,7.0
glittering,gold,35.0,7.0
black,white,35.0,7.0
light,neon,35.0,7.0
machine,washing,35.0,7.0
coffee,dinner,35.0,7.0
feathers,flamingo,35.0,7.0
downtown,sidewalk,35.0,7.0
cooking,eat,35.0,7.0
feline,paws,35.0,7.0
crow,gull,35.0,7.0
festival,music,35.0,7.0
dirt,road,35.0,7.0
gull,pelican,35.0,7.0
carrots,tomato,35.0,7.0
blossom,tree,35.0,7.0
restaurant,shop,35.0,7.0
cherry,grapes,35.0,7.0
automobile,racing,35.0,7.0
jazz,piano,35.0,7.0
hawk,pelican,35.0,7.0
baseball,played,35.0,7.0
bloom,plant,35.0,7.0
ceiling,wall,35.0,7.0
beef,potatoes,35.0,7.0
breakfast,restaurant,35.0,7.0
black,colour,35.0,7.0
bright,glittering,35.0,7.0
hummingbird,nest,35.0,7.0
feline,whiskers,35.0,7.0
beach,holiday,35.0,7.0
sailing,shore,35.0,7.0
design,graphic,35.0,7.0
music,track,35.0,7.0
air,cold,35.0,7.0
dessert,eat,35.0,7.0
chocolate,strawberry,35.0,7.0
dinner,night,35.0,7.0
dusk,sunrise,35.0,7.0
boat,sunk,35.0,7.0
beef,cooking,35.0,7.0
jacket,jean,35.0,7.0
computer,lab,35.0,7.0
downtown,skyline,35.0,7.0
fun,game,35.0,7.0
ivy,tree,35.0,7.0
nest,wasp,35.0,7.0
garden,pumpkin,35.0,7.0
curled,haircut,35.0,7.0
eat,meat,35.0,7.0
outfit,skirt,35.0,7.0
bacon,beef,35.0,7.0
skyscraper,tower,35.0,7.0
splash,washing,35.0,7.0
daffodils,foliage,34.0,6.8
garden,patio,34.0,6.8
metro,subway,34.0,6.8
beach,scenery,34.0,6.8
photographer,wedding,34.0,6.8
floor,room,34.0,6.8
purple,yellow,34.0,6.8
guitar,sing,34.0,6.8
petals,yellow,34.0,6.8
beads,necklace,34.0,6.8
black,brown,34.0,6.8
dessert,strawberry,34.0,6.8
beef,lamb,34.0,6.8
bread,potatoes,34.0,6.8
fishing,harbour,34.0,6.8
pug,terrier,34.0,6.8
evening,time,34.0,6.8
office,table,34.0,6.8
cat,licking,34.0,6.8
building,interior,34.0,6.8
crochet,stitches,34.0,6.8
spring,sunshine,34.0,6.8
concert,jazz,34.0,6.8
cooking,soup,34.0,6.8
shade,sun,34.0,6.8
tall,tower,34.0,6.8
pepper,salad,34.0,6.8
strawberry,tomato,34.0,6.8
fruit,peel,34.0,6.8
scenery,skyline,34.0,6.8
green,yellow,34.0,6.8
brown,orange,34.0,6.8
colour,orange,34.0,6.8
harbour,ship,34.0,6.8
violet,yellow,34.0,6.8
sports,swimming,34.0,6.8
friends,happy,34.0,6.8
blue,pink,34.0,6.8
blossom,orange,34.0,6.8
rail,station,34.0,6.8
potatoes,salad,34.0,6.8
interior,wall,34.0,6.8
hawk,hummingbird,34.0,6.8
cliff,coast,34.0,6.8
feathers,wing,34.0,6.8
brown,yellow,34.0,6.8
raspberry,sweet,34.0,6.8
concert,sing,34.0,6.8
art,craft,34.0,6.8
bloom,foliage,34.0,6.8
chicken,rice,34.0,6.8
cherry,orange,34.0,6.8
blossom,fruit,34.0,6.8
animals,wild,34.0,6.8
line,railway,34.0,6.8
roof,tiles,34.0,6.8
concert,piano,34.0,6.8
potatoes,rice,34.0,6.8
cloud,sunshine,34.0,6.8
marble,statue,34.0,6.8
frozen,meat,34.0,6.8
band,punk,34.0,6.8
insects,reptiles,34.0,6.8
building,staircase,34.0,6.8
bed,breakfast,34.0,6.8
bloom,lily,34.0,6.8
blonde,girls,34.0,6.8
jean,outfit,34.0,6.8
bread,cooking,34.0,6.8
flowers,violet,34.0,6.8
peel,skin,34.0,6.8
dessert,diner,34.0,6.8
art,exhibition,34.0,6.8
jacket,shirt,34.0,6.8
brown,purple,34.0,6.8
floor,patio,34.0,6.8
downtown,highway,34.0,6.8
purple,red,34.0,6.8
dragonfly,frog,33.0,6.6
mammals,monkeys,33.0,6.6
